title,author,narrator,series,runtime (in minutes),release_date,language,total_ratings,stars (out of 5),price (in rupees)
The Little Book of Trading,Michael Covel,Sean Pratt,NA,278,22-09-11,English,41,4.5,703.00
The Boy on the Bridge (Hindi Edition),Darcy,Amit Deondi,NA,659,07-12-23,Hindi,1,5,0
Be a Sales Superstar,Brian Tracy,Brian Tracy,NA,160,10-12-13,English,17,4.5,117.00
Dharma,Amish Tripathi,Kanchan Wadi,NA,266,09-09-22,English,29,4,501.00
Pratisad (Marathi Edition),Manoj Ambike,Prasad Phanse,NA,864,17-02-23,Hindi,19,5,836.00
Jagaran (Hindi),OSHO,OSHO,NA,116,01-03-16,Hindi,11,5,167.00
Poirot's Finest Cases,Agatha Christie,"Full Cast, John Moffat",NA,937,16-10-14,English,452,4.5,1093.00
Kaam Kala Ke Bhed [Difference of Art],Acharya Chatursen,Kabeer,NA,356,14-10-21,Hindi,8,4.5,0
50 Greatest Short Stories,"Terry O'Brien - editor, Terry O'Brien - introduction","Fajer Al-Kaisi, Deepti Gupta",NA,1332,01-01-17,English,9,3.5,251.00
May Cause Miracles,Gabrielle Bernstein,Gabrielle Bernstein,NA,340,01-01-13,English,11,4.5,754.00
Why We Remember,Charan Ranganath,"Charan Ranganath, Mark Deakins",NA,438,20-02-24,English,0,0,1025.00
The Confident Mind,Nathaniel Zinsser,Qarie Marshall,NA,634,27-01-22,English,3,4.5,888.00
Troy,Stephen Fry,Stephen Fry,"The Mythos Volumes, Book 3",659,29-10-20,English,233,5,1093.00
Mindfulness in Plain English,Bhante Henepola Gunaratana,Edoardo Ballerini,"Mindfulness in Plain English, Book 1",372,24-05-16,English,137,4.5,668.00
Ecstasy: The Forgotten Language,Osho,Osho,NA,915,30-06-20,English,11,5,422.00
An Era of Darkness,Shashi Tharoor,Sagar Arya,NA,746,26-01-17,English,251,4.5,586.00
Kundalini Meditation,Harijiwan Khalsa,Harijiwan Khalsa,NA,140,05-02-10,English,10,4,586.00
For We Are Many,Dennis E. Taylor,Ray Porter,"Bobiverse, Book 2",539,18-04-17,English,108,5,668.00
Night Train at Deoli (Hindi Edition),Ruskin Bond,Mansi Multani,NA,403,24-12-18,Hindi,38,4.5,278.00
"The Science of Effective Communication: Improve Your Social Skills and Small Talk, Develop Charisma and Learn How to Talk to Anyone",Ian Tuhovsky,Randy Streu,"Positive Psychology Coaching Series, Book 15",275,22-01-18,English,54,4.5,501.00
Charitra (Hindi),OSHO,OSHO,NA,102,01-03-16,Hindi,12,5,167.00
Ambedkar's India,B.R. Ambedkar,Mishal Varma,NA,272,04-04-22,English,279,4.5,501.00
A Second Chance,Sudeep Nagarkar,Harish Moily,NA,403,23-03-21,English,29,4,668.00
Narasimha,Kevin Missal,Rajat Verman,"The Narasimha Trilogy, Book 1",599,14-10-21,English,84,4,668.00
Learn English: Word Power 101,Innovative Language Learning,EnglishClass101.com,"Absolute Beginner English, Book 1",37,17-08-12,English,89,3.5,0
The Easy Way to Control Alcohol,Allen Carr,Richard Mitchley,NA,486,30-09-13,English,30,5,759.00
A Place of Greater Safety,Hilary Mantel,Jonathan Keeble,NA,2033,22-04-13,English,2,4.5,1242.00
Parthiban Kanavu,Kalki,Deepika Arun,NA,616,01-02-23,Tamil,7,4.5,349.00
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Tom Parks,Rich Dad Series,502,14-05-19,English,"1,100",4.5,844.00
My Twisted Love Story,Arun Singh,Nathan Dsouza,NA,257,14-06-23,English,5,5,501.00
The Fall and Rise of China,"Richard Baum, The Great Courses",Richard Baum,The Great Courses: Modern History,1448,08-07-13,English,24,4.5,1774.00
Anne of Green Gables,Lucy Maud Montgomery,Rachel McAdams,"Anne of Green Gables, Book 1",562,22-11-16,English,73,5,836.00
Underlord,Will Wight,Travis Baldree,"Cradle, Book 6",642,25-09-19,English,10,5,836.00
Overcoming Anticipatory Anxiety,"Sally M. Winston PsyD, Martin N. Seif PhD",Linda Jones,NA,362,19-07-22,English,2,4.5,586.00
The Case of the Substitute Face,Erle Stanley Gardner,Alexander Cendese,"Perry Mason, Book 12",410,27-12-15,English,4,5,844.00
The Tyrant’s Tomb,Rick Riordan,Robbie Daymond,"The Trials of Apollo, Book 4",802,24-09-19,English,69,5,820.00
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon, Travis Deverell",Heath Miller,"He Who Fights with Monsters, Book 1",1736,09-03-21,English,28,5,2010.00
The Last Law of Attraction Book You’ll Ever Need to Read,Andrew Kap,Andrew Kap,NA,269,01-04-20,English,31,4.5,501.00
Thuppariyum Sambu Part 2 (Tamil Edition),Devan,Bombay Kannan,"துப்பறியும் சாம்பு [Thuppariyum Sambu], Book 2",149,18-05-21,Tamil,24,5,62.00
Twisted Love,Ana Huang,"Cindy Kay, Aiden Snow","Twisted, Book 1",641,07-06-22,English,136,4,703.00
Siddhartha (Hindi Edition),Herman Hesse,Mukesh Pandey,NA,311,15-02-19,Hindi,131,4.5,188.00
Dark Russian Angel,Odette Stone,"Madeleine Dauer, Alex Kydd","The Vancouver Mafia Romance, Book 1",613,29-09-20,English,8,4.5,586.00
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Stephen Fry,"Harry Potter, Book 3, Wizarding World, Book 3",723,20-11-15,English,994,5,999.00
Interview with the Robot,Lee Bacon,"Kevin T. Collins, Ellen Archer, Josh Hurley, Eileen Stevens, Erin Mallon, Jonathan Davis, Stephen Bel Davies",NA,222,02-01-20,English,136,4.5,199.00
Mistletoe Murders 2,Ken Cuperus,"Cobie Smulders, Raymond Ablack, Anna Cathcart, Jean Yoon, Enrico Colantoni, Kevin Hanchard, full cast","Mistletoe Murders, Book 2",228,08-11-23,English,23,5,648.00
Wuthering Heights,Emily Brontë,Shernaz Patel,NA,788,22-05-19,English,194,4,284.00
Breaking the Cycle,"George Collins MA, Andrew Adleman",Sean Pratt,NA,382,17-11-15,English,30,5,703.00
Shreshthata Ka Manovigyan (Hindi),OSHO,OSHO,NA,94,01-03-16,Hindi,27,4.5,167.00
Rewire Your OCD Brain,"Catherine M. Pittman PhD, William H. Youngs PhD",Kitty Hendrix,NA,450,01-06-21,English,7,5,586.00
"The Lost Art of Listening, Second Edition",Michael P. Nichols PhD,Sean Runnette,NA,693,25-10-16,English,7,4.5,938.00
Babylonin Migapperiya Panakkarar [The Richest Man in Babylon (Tamil)],ஜார்ஜ் எஸ் கிளாசன்,Rajesh Ganesapillai,NA,290,03-07-23,Tamil,3,5,48.00
The Monogram Murders,"Sophie Hannah, Agatha Christie",Julian Rhind-Tutt,"Hercule Poirot Mysteries, Book 42, New Hercule Poirot Mysteries, Book 1",673,09-09-14,English,17,4,1575.00
The Girl Who Kicked the Hornets' Nest,Stieg Larsson,Saul Reichlin,"Millennium Series, Book 3",1506,20-10-09,English,86,4.5,949.00
Ghost Stories of Shimla Hills,Minakshi Chaudhry,Shaheen Khan,NA,211,01-01-17,English,18,3.5,217.00
Braiding Sweetgrass,Robin Wall Kimmerer,Robin Wall Kimmerer,NA,1004,27-12-15,English,14,4.5,1172.00
Yes Minister & Yes Prime Minister - The Complete Audio Collection,"Antony Jay, Jonathan Lynn","Paul Eddington, full cast, Nigel Hawthorn","Yes Minister, Yes Prime Minister",1108,28-07-14,English,116,5,1093.00
Secrets of Super Success (Hindi Edition),Subhash Lakhotia,Trishaan,NA,254,19-07-21,Hindi,6,4.5,0
Notes From a Small Island,Bill Bryson,William Roberts,NA,629,10-01-06,English,18,4,751.00
At the Eleventh Hour,Pandit Rajmani Tigunait Ph.D.,D. C. Rao Ph.D.,NA,1061,05-04-13,English,54,5,445.00
"Always and Forever, Lara Jean",Jenny Han,Ali Ahn,"To All the Boys I've Loved Before, Book 3",527,14-01-20,English,27,4.5,820.00
Peppa Pig: On the Road with Peppa,John Sparkes,John Sparkes,Peppa Pig,62,26-05-16,English,27,4.5,410.00
