title,author,narrator,series,runtime (in minutes),release_date,language,total_ratings,stars (out of 5),price (in rupees)
Ramayana Banaam Mahabharata [Ramayana vs. Mahabharata],Devdutt Pattanaik,Sarvesh Vyas,NA,379,26-02-20,Hindi,42,4.5,0
The Alchemist (Hindi Edition),"Paulo Coelho, Anu Singh - translator",Babla Kochhar,NA,396,26-03-19,Hindi,"1,016",4.5,214.00
Kalki Puran (Hindi Edition),Dr. Vinay,Avdhesh Tondak,NA,370,19-07-21,Hindi,32,5,0
Kasturi Kundal Basai,OSHO,OSHO,NA,900,26-05-17,Hindi,43,5,284.00
30 Din Mein Bane Share market Mein Safal Niveshak [Become a Successful Investor in Share Market in 30 Days],Amol Gandhi,Trishaan,NA,240,19-07-21,Hindi,18,4,0
The Bookworm Crush,Lisa Brown Roberts,Heather Wynne,NA,634,14-01-20,English,11,4.5,703.00
Narmadayan (Marathi Edition),Uday Nagnath,Sachin Suresh,NA,487,09-03-23,Hindi,14,4.5,668.00
Jeevan Jine Ki Kala,Anand Satyarthi,Nitin Sharma,NA,314,19-07-21,Hindi,18,4.5,0
How to Train a Wild Elephant & Other Adventures in Mindfulness,Jan Chozen Bays MD,Jan Chozen Bays MD,NA,366,06-01-15,English,93,4.5,668.00
Cursed (Hindi Edition),Anusree Neogi,Mahjabeen Ali,NA,587,11-02-22,Hindi,139,3.5,0
How to Say It: Words That Make a Difference,"Allison Friederichs Atkison, The Great Courses",Allison Friederichs Atkison,NA,284,14-07-22,English,128,4.5,836.00
The Cthulhu Casebooks: Sherlock Holmes and the Shadwell Shadows,James Lovegrove,Dennis Kleinman,"The Cthulhu Casebooks, Book 1",620,19-11-19,English,24,4,820.00
Think and Grow Rich (Marathi Edition),Napoleon Hill,Pankaj Khamkar,NA,491,26-09-23,Hindi,4,5,668.00
What Do You Care What Other People Think?,"Richard P. Feynman, Ralph Leighton",Raymond Todd,NA,372,26-12-04,English,94,4.5,609.00
The Stand-In,Lily Chu,Phillipa Soo,NA,655,15-07-21,English,199,4.5,1171.00
A History of British India,"The Great Courses, Hayden J. Bellenoit",Hayden J. Bellenoit,The Great Courses: Modern History,731,06-01-17,English,107,4.5,1171.00
Vivekanand [Vivekananda],Rajendra Mohan Bhatnagar,Kafeel Jafri,NA,770,14-10-21,Hindi,49,5,0
Philosophia Ultima,Osho,Osho,NA,1183,24-08-17,English,17,4.5,445.00
The Language of Deception,Justin Hutchens,Mike Chamberlain,NA,638,20-02-24,English,0,0,703.00
Arabian Nights: Volume 1,Marty Ross,"Zahra Ahmadi, Raghad Chaar, Omid Djalili, Walles Hamonde, Mandana Jones, Adam Sina, full cast","Arabian Nights: An Audible Original Drama Series, Book 1",500,15-05-18,English,138,4.5,759.00
Fooled by Randomness,Nassim Nicholas Taleb,Sean Pratt,Incerto,603,07-01-08,English,282,4.5,694.00
Kya Khoya Kya Paya [What Was Lost What Was Found],Atal Bihari Vajpayee,Nitin Sharma,NA,122,14-10-21,Hindi,30,4.5,0
The Marriage Bargain,Jennifer Probst,Coleen Marlo,NA,374,31-07-12,English,15,4.5,702.00
The Great Gatsby,F. Scott Fitzgerald,Jake Gyllenhaal,NA,289,09-04-13,English,420,4.5,501.00
Chandrakanta (Hindi Edition),Devki Nandan Khatri,Manish Singhal,"Chandrakanta Santati [Hindi Edition], Book 1",761,19-07-21,Hindi,40,4.5,0
The Power of Your Subconscious Mind (Marathi Edition),Joseph Murphy,Rohan Phanse,NA,580,19-10-23,Hindi,2,4.5,668.00
Chinta Chhodo Sukh Se Jiyo,Dale Carnegie,Ravinder Singh,NA,657,13-03-19,Hindi,174,5,254.00
Habits for Happiness,"Dr Tim Sharp, Tathagata Mandal - translator",Sameer Goswami,NA,241,02-01-22,Hindi,56,4.5,460.00
The Fifth Phrase,"Joe Vitale, Dan Strutzel - with","Dan Strutzel, Joe Vitale",NA,331,28-01-21,English,7,5,469.00
Krishna Kunji [Krishna Key],Ashwin Sanghi,Ganesh Divekar,NA,911,07-02-18,Hindi,124,4.5,284.00
Maine Ram Ratan Dhan Payo,OSHO,OSHO,NA,1062,26-05-17,Hindi,28,5,284.00
Dead Never Die,Siddharth Nirwan,Tavish Bhattacharya,NA,223,23-03-21,English,27,4,0
Just One Night,Carly Phillips,"Mackenzie Cartwright, Connor Crais","The Kingston Family, Book 1",349,20-04-21,English,33,4.5,820.00
How to Achieve Financial Independence and Retire Early,"JD Roth, The Great Courses",JD Roth,NA,279,16-02-21,English,294,4.5,836.00
Our Fault,Mercedes Ron,"Hugo Locke, Hannah Carmona","Culpable, Book 3",788,13-02-24,English,1,5,703.00
Crave,Tracy Wolff,"Heather Costa, Tim Paige","Crave, Book 1",896,07-04-20,English,13,4.5,820.00
Gaban [Embezzlement],Premchand,Abhishek Sharma,NA,745,14-10-21,Hindi,76,5,0
Tales of Fosterganj,Ruskin Bond,Sam Dastor,NA,191,01-01-17,English,26,4.5,290.00
The Untethered Soul,Michael A. Singer,Peter Berkrot,NA,371,12-12-11,English,359,5,820.00
Malaikallan,Namakkal Kavignar,Deepika Arun,NA,549,26-08-22,Tamil,27,4.5,209.00
Sherlock Holmes: The Definitive Collection,"Stephen Fry - introductions, Arthur Conan Doyle",Stephen Fry,"Sherlock Holmes, Book 1-6",4317,27-02-17,English,"1,049",5,3037.00
The Great Ideas of Psychology,"Daniel N. Robinson, The Great Courses",Daniel N. Robinson,The Great Courses: Psychology,1407,08-07-13,English,11,4.5,1405.00
Aap Kya Nahin Kar Sakte [What Can't You Do?],Swett Marden,Kanchan Bhattacharyya,NA,275,19-07-21,Hindi,7,5,0
Extremely Hardcore,Zoë Schiffer,Jaime Lamchick,NA,522,13-02-24,English,0,0,1005.00
The Little Book of Market Wizards,Jack D. Schwager,Danny Campbell,NA,229,27-07-20,English,13,5,501.00
Neuroscience of Everyday Life,The Great Courses,Professor Sam Wang,NA,1075,11-03-19,English,11,4.5,1405.00
The Women,Kristin Hannah,Julia Whelan,NA,895,15-02-24,English,1,5,323.00
The Power of Concentration,Theron Q. Dumont,Richard Powers,NA,269,13-03-18,English,72,4.5,585.00
Speak to Win,Brian Tracy,Brian Tracy,NA,313,20-11-08,English,19,4.5,468.00
Harappa,Vineet Bajpai,Sandeep Bhatt,"Harappa (Hindi), Book 1",578,14-04-20,Hindi,39,4.5,193.00
The Arts of Seduction,Seema Anand,Swasti Shree Sharma,NA,447,10-12-18,English,98,4.5,462.00
"Change Your Questions, Change Your Life",Marilee Adams,Suzanne Toren,NA,283,09-04-09,English,118,4.5,468.00
Art of War,Sun Tzu,Anand Phursule,NA,104,26-10-21,Hindi,48,4.5,0
Visions of Flesh and Blood,"Jennifer L. Armentrout, Rayvn Salvador - contributor",Stina Nielsen,"Blood and Ash, Book 6",1553,20-02-24,English,0,0,1102.00
12 Essential Scientific Concepts,"The Great Courses, Indre Viskontas",Indre Viskontas,The Great Courses: History of Science,725,07-02-14,English,8,5,1171.00
Vivekananda,Pranay,Ashish Bhandari,NA,192,22-07-21,English,243,4.5,501.00
Kiss That Frog!,"Brian Tracy, Christina Tracy Stein",Brian Tracy,NA,231,01-03-12,English,12,5,656.00
1991,Sanjaya Baru,Avinash Kumar Singh,NA,325,11-07-17,English,204,4.5,511.00
David Copperfield,Charles Dickens,Richard Armitage,NA,2190,09-02-16,English,17,5,1338.00
Sweet Talk,Cara Bastone,"Lidia Dornet, Chris Brinkley",Love Lines,342,22-04-21,English,297,4.5,1003.00
Sita: Warrior of Mithila,Amish,Sagar Arya,"Ram Chandra, Book 2",670,29-08-17,English,"1,137",4.5,215.00
Powerful Self-Confidence,Made for Success,"Zig Ziglar, Chris Widener, Laura Stack, Jeff Davidson, Andrew Richardson, Dr. Larry Iverson, Dianna Booher",NA,468,25-10-16,English,21,4.5,820.00
Vishnu Ke Saat Rahasya [Seven Secrets of Vishnu],Devdutt Pattanaik,Atul Arya,NA,252,13-03-19,Hindi,32,4.5,284.00
The Power of Habit (Hindi Edition),Charles Duhigg,Ravinder Singh,NA,803,09-11-21,Hindi,55,4.5,403.00
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,Sanyam Sharma,NA,517,14-02-19,Hindi,634,5,161.00
The Story of Human Language,"John McWhorter, The Great Courses",John McWhorter,The Great Courses: Linguistics,1095,08-07-13,English,40,4.5,1405.00
Women and the Weight Loss Tamasha,Rujuta Diwekar,"Rujuta Diwekar, Kareena Kapoor",NA,698,20-06-17,English,77,4.5,359.00
Maximum Achievement,Brian Tracy,Brian Tracy,NA,805,09-10-17,English,16,5,703.00
Sahaj Yog,OSHO,OSHO,NA,2230,26-05-17,Hindi,70,5,284.00
Ikigai for Young Readers (Hindi Edition),"Hector Garcia, Fransesc Miralles",Ashish Bhandari,Ikigai (Hindi Edition),228,14-12-22,Hindi,25,5,501.00
Leadership,Brian Tracy,Brian Tracy,NA,131,24-03-14,English,24,5,351.00
A Wizard's Guide to Defensive Baking,T. Kingfisher,Patricia Santomasso,NA,510,12-10-21,English,14,5,703.00
The Search,Osho,Osho,NA,823,28-12-15,English,57,5,445.00
The Subtle Art of Not Giving a F--k (Marathi Edition),Mark Manson,Sachin Suresh,The Subtle Art of Not Giving a F*ck,454,09-11-23,Hindi,3,5,668.00
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,Marguerite Gavin,NA,410,10-05-16,English,60,5,820.00
Columbus Day,Craig Alanson,R.C. Bray,"Expeditionary Force, Book 1",983,13-12-16,English,40,4.5,1289.00
Stories Short and Sweet,Ruskin Bond,Homer Todiwala,NA,90,16-02-17,English,7,5,177.00
Ikigai (Marathi Edition),"Hector Garcia, Fransesc Miralles, Prasad Dhapre - translator",Shailesh Datar,NA,248,10-01-23,Hindi,43,5,501.00
Anahad Mein Bisram,OSHO,OSHO,NA,945,26-05-17,Hindi,30,5,284.00
We Own Tonight,Corinne Michaels,"Zachary Webber, Andi Arndt","Second Time Around, Book 1",517,19-09-17,English,0,0,668.00
The Counterfeit Candidate,Brian Klein,John Chancer,NA,627,15-07-21,English,71,4.5,937.00
Kulfi and Cappuccino (Hindi Edition),Ashish Chaudhary,Kafeel Jafri,NA,572,24-10-18,Hindi,138,4.5,243.00
Prem Panth Aiso Kathin,OSHO,OSHO,NA,1641,26-05-17,Hindi,19,5,284.00
System Interference,SunriseCV,Adam Verner,"System Universe Series, Book 5",768,14-02-24,English,2,5,836.00
The New Confessions of an Economic Hit Man,John Perkins,Tom Taylorson,NA,742,09-02-16,English,76,4.5,820.00
Absolute Tao,OSHO,OSHO,NA,915,08-12-15,English,26,5,445.00
How to Train Your Mind,Chris Bailey,Chris Bailey,NA,198,14-01-21,English,"1,313",4.5,836.00
Shakespeare Ki Kahaniyaan [Shakespeare's Stories],William Shakespeare,Vipin Singh,NA,253,20-01-22,Hindi,29,5,0
Slightly Dangerous,Mary Balogh,Rosalyn Landor,NA,714,18-04-17,English,15,4.5,1008.00
Jeevan Ka Param Satya (Hindi),OSHO,OSHO,NA,97,01-03-16,Hindi,64,5,167.00
The Picture of Dorian Gray,Oscar Wilde,Russell Tovey,NA,515,26-10-17,English,120,4.5,569.00
Es Dhammo Sanantano Vol. 1,OSHO,OSHO,NA,834,26-05-17,Hindi,28,5,284.00
Vandargal Vendrargal,Madhan,Charles K,NA,763,14-01-08,Tamil,119,5,1003.00
The 7 Principles of Public Speaking,Richard Zeoli,Peter Johnson,NA,300,01-02-13,English,119,4.5,668.00
Harvard Business Review Emotional Intelligence Collection,Harvard Business Review,"Daniel Henning, Rachel Perry","HBR Emotional Intelligence Series, Book 1-4",481,29-12-20,English,6,5,586.00
The Mystwick School of Musicraft,Jessica Khoury,Suzy Jackson,"The Mystwick School of Musicraft, Book 1",498,05-09-19,English,74,5,266.00
How to Stop Worrying and Start Living,Dale Carnegie,Avinash Kumar Singh,NA,582,11-07-18,English,338,4.5,144.00
Think and Grow Rich (1937 Edition),Napoleon Hill,Fred Stella,NA,652,29-12-13,English,85,5,1008.00
"Bulls, Bears and Other Beasts",Santosh Nair,Swetanshu Bora,NA,668,18-01-22,English,590,4.5,836.00
Unreasonable Hospitality,Will Guidara,Will Guidara,NA,517,08-02-24,English,0,0,957.00
Complete Book of Yoga,Swami Vivekananda,Shivam Vig,NA,1696,26-10-22,English,23,5,1338.00
A Little History of the World,E. H. Gombrich,Ralph Cosham,Little Histories Series,551,18-05-06,English,66,4.5,656.00
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Stephen Fry,"Harry Potter, Book 7, Wizarding World, Book 7",1439,20-11-15,English,"1,315",5,1599.00
"Big History: The Big Bang, Life on Earth, and the Rise of Humanity","David Christian, The Great Courses",David Christian,The Great Courses: Civilization & Culture,1466,08-07-13,English,17,5,1774.00
Buddha’s Diet,"Tara Cottrell, Dan Zigmond",Pam Ward,NA,273,29-08-16,English,124,4.5,702.00
The 12 Week Year,"Brian P. Moran, Michael Lennington",Tom Pile,NA,317,27-07-20,English,59,4.5,656.00
Elantris (Dramatized Adaptation),Brandon Sanderson,"Christopher Graybill, Colleen Delany, David Coyne, Dylan Lynch, Elizabeth Jernigan, James Konicek, Karen Carbone, Ken Jackson, Scott McCormick, Steven Carpenter, Tim Getman","Elantris Series, Book 1",1115,11-08-21,English,22,4.5,1149.00
"Blue Ocean Strategy, Expanded Edition","W. Chan Kim, Renee Mauborgne",Roger Wayne,NA,523,14-07-20,English,54,4.5,586.00
The Ickabog,J.K. Rowling,Stephen Fry,NA,472,10-11-20,English,227,4.5,799.00
Revelation Space,Alastair Reynolds,John Lee,"Revelation Space, Book 1",1332,12-01-09,English,7,4.5,1289.00
1984 (Hindi Edition),George Orwell,Abhishek Sharma,NA,831,26-10-21,Hindi,30,4.5,836.00
Memory Improvement,Ron White,Sean Pratt,NA,259,18-07-13,English,8,5,93.00
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Stephen Fry,"Harry Potter, Book 6, Wizarding World, Book 6",1231,20-11-15,English,769,5,1599.00
A Damsel in Distress,P. G. Wodehouse,Jonathan Cecil,NA,429,04-08-17,English,56,4.5,702.00
Helping People Change,"Richard Boyatzis, Melvin Smith, Ellen Van Oosten",Barry Abrams,NA,433,10-09-19,English,5,4.5,586.00
Dilli Darbaar (Hindi Edition),Satya Vyas,Nitin Sharma,NA,318,29-10-18,Hindi,150,4.5,0
Think and Grow Rich (Tamil Edition),Napoleon Hill,Veera,NA,561,18-12-23,Tamil,3,5,668.00
13 Kaam Jo Samajhdar Log Nahi Karte [13 Commonwealth Games],Amy Morin,Pratibha Tiku Sharma,NA,498,10-04-19,Hindi,28,5,284.00
Frankenstein,Mary Shelley,Dan Stevens,NA,515,29-10-13,English,90,4.5,836.00
Jeevan Ke Arth Ki Talaash Me Manushya [Man's Search for Meaning],Viktor E Frankl,Rajesh Bathija,NA,453,01-11-21,Hindi,18,4.5,245.00
Beyond Good and Evil,Friedrich Nietzsche,Steven Van Doren,NA,489,03-08-09,English,9,4.5,836.00
P. G. Wodehouse Volume 2,P. G. Wodehouse,Stephen Fry,"Blandings Castle, Book 3-6",2727,08-07-21,English,62,5,1138.00
Karma Bhoomi [Land of Work],Premchand,Akhtar Qureshi,NA,772,15-06-22,Hindi,21,4.5,0
Wisdom of the Gods for You and Me,Devdutt Pattanaik,Neel Chaudhuri,NA,614,14-10-19,English,64,4.5,488.00
Breakfast at Tiffany's,Truman Capote,Michael C. Hall,NA,170,11-02-14,English,107,4,333.00
Feel-Good Productivity,Ali Abdaal,Ali Abdaal,NA,330,28-12-23,English,78,4.5,957.00
The Ikigai Journey (Hindi Edition),"Hector Garcia, Fransesc Miralles",Abhishek Sharma,Ikigai (Hindi Edition),399,14-12-22,Hindi,23,5,668.00
Network Effect,Martha Wells,Kevin R. Free,"Murderbot Diaries, Book 5",767,05-05-20,English,36,4.5,938.00
The Great Train Journey,Ruskin Bond,Ranvijay Pratap Singh,NA,215,01-03-23,English,24,4,139.00
Swami Vivekananda,Gautam Ghosh,Swetanshu Bora,NA,412,01-11-18,English,195,4.5,460.00
"Power, Sex, Suicide",Nick Lane,Nigel Patterson,NA,954,12-03-19,English,3,5,703.00
Dating Essentials for Men,Dr. Robert Glover,Robert Glover,NA,446,27-08-19,English,42,4.5,586.00
"HBR's 10 Must Reads on Managing Yourself, Vol. 2",Harvard Business Review,"Steve Menasche, Teri Schnaubelt",HBR's 10 Must Reads series,297,23-03-21,English,3,4.5,469.00
Apartment 239 (Hindi Edition),Elford Alley,Abhishek Sharma,NA,469,07-12-23,Hindi,0,0,0
Ruthless,Gina L. Maxwell,"Avery Reid, Aiden Snow","Playboys in Love, Book 2",464,12-04-22,English,3,5,586.00
How AI Thinks,Nigel Toon,Joe Jameson,NA,587,08-02-24,English,0,0,957.00
How to Enjoy Your Life and Your Job (Hindi Edition),Dale Carnegie,Siddharth Kulkarni,NA,362,26-10-21,Hindi,72,4.5,668.00
Sapiens,Yuval Noah Harari,Babla Kochhar,NA,1302,13-03-19,Hindi,395,5,284.00
Mahayoddha Kalki: Sword of Shiva,Kevin Missal,Manish Dongardive,"Kalki Trilogy, Book 3",570,24-01-22,English,168,4.5,668.00
When Women Ruled the World,Kara Cooney,Kara Cooney,NA,555,30-11-18,English,36,4.5,836.00
Timeless Tales for Kids,"E. Nesbit, Charles Dickens, Lewis Carroll, Rudyard Kipling","Alistair McGowan, Olivia Colman, Bill Nighy, Luke Evans, Russell Tovey, Elizabeth McGovern, Dominic Cooper","Treasure Island, Book 1, Alice in Wonderland, Book 1-2, Little Women, Book 1, Oz, Book 1",616,13-02-18,English,15,4.5,721.00
Sherlock Holmes and the Christmas Demon,James Lovegrove,Dennis Kleinman,NA,525,06-04-21,English,104,4.5,820.00
The Book of Wisdom,Osho,Osho,NA,2826,14-12-15,English,66,5,586.00
The Picture of Dorian Gray,Oscar Wilde,Stephen Fry,NA,316,22-08-17,English,49,4.5,668.00
He Felt Like a Storm (Hindi Edition),AnkSun,Alka Sharma,NA,1099,07-12-23,Hindi,12,5,0
Raghuvansh (Hindi Edition),Kalidas,Rishi Upadhyay,NA,316,14-10-21,Hindi,26,5,0
